route_id,agency_id,route_short_name,Type,avg_co2_per_vehicle_per_km,avg_passenger_count,route_long_name,route_desc,route_type,route_url
1001,HSL,1,tram,0,25,Eira - Töölö - Sörnäinen (M) - Käpylä,,0,http://aikataulut.hsl.fi/linjat/fi/h1_1a.html
1001H,HSL,1H,tram,0,25,Käpylä - Sörnäinen (M) - Ooppera,,0,http://aikataulut.hsl.fi/linjat/fi/h1_1a.html
1002,HSL,2,tram,0,25,Olympiaterm. - Rautatieas. - Kamppi - Töölö - Pasila as.,,0,http://aikataulut.hsl.fi/linjat/fi/h2.html
1002H,HSL,2H,tram,0,25,Pasila as. - Ooppera,,0,http://aikataulut.hsl.fi/linjat/fi/h2.html
1003,HSL,3,tram,0,25,Olympiaterm. - Eira - Rautatieas - Kallio - Pikku Huopalahti,,0,http://aikataulut.hsl.fi/linjat/fi/h3.html
1003H,HSL,3H,tram,0,25,Pikku Huopalahti - Alppila - Ooppera,,0,http://aikataulut.hsl.fi/linjat/fi/h3.html
1004,HSL,4,tram,0,25,Katajanokka - Lasipalatsi - Alppila - Meilahti,,0,http://aikataulut.hsl.fi/linjat/fi/h4.html
1004H,HSL,4H,tram,0,25,Meilahti - Alppila - Ooppera,,0,http://aikataulut.hsl.fi/linjat/fi/h4.html
1004T,HSL,4T,tram,0,25,Katajanokan terminaali - Lasipalatsi - Alppila - Meilahti,,0,http://aikataulut.hsl.fi/linjat/fi/h4T.html
1005,HSL,5,tram,0,25,Katajanokan terminaali - Rautatieasema,,0,http://aikataulut.hsl.fi/linjat/fi/h5.html
1005H,HSL,5H,tram,0,25,Katajanokan term - Rautatieas - Kamppi - Töölö -Ruusulankatu,,0,http://aikataulut.hsl.fi/linjat/fi/h5H.html
1006,HSL,6,tram,0,25,Eiranranta - Rautatieasema - Sörnäinen (M) - Arabia,,0,http://aikataulut.hsl.fi/linjat/fi/h6_6t.html
1006H,HSL,6H,tram,0,25,Arabia - Vallila,,0,http://aikataulut.hsl.fi/linjat/fi/h6_6t.html
